realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,6938
2019-12-06,2019-12-06,1992-02-01,7524
2019-12-06,2019-12-06,1992-03-01,8475
2019-12-06,2019-12-06,1992-04-01,9401
2019-12-06,2019-12-06,1992-05-01,9558
2019-12-06,2019-12-06,1992-06-01,9182
2019-12-06,2019-12-06,1992-07-01,9103
2019-12-06,2019-12-06,1992-08-01,10513
2019-12-06,2019-12-06,1992-09-01,9573
2019-12-06,2019-12-06,1992-10-01,10254
2019-12-06,2019-12-06,1992-11-01,11187
2019-12-06,2019-12-06,1992-12-01,18395
2019-12-06,2019-12-06,1993-01-01,7502
2019-12-06,2019-12-06,1993-02-01,7524
2019-12-06,2019-12-06,1993-03-01,8766
2019-12-06,2019-12-06,1993-04-01,9867
2019-12-06,2019-12-06,1993-05-01,10063
2019-12-06,2019-12-06,1993-06-01,9635
2019-12-06,2019-12-06,1993-07-01,9794
2019-12-06,2019-12-06,1993-08-01,10628
2019-12-06,2019-12-06,1993-09-01,10013
2019-12-06,2019-12-06,1993-10-01,10346
2019-12-06,2019-12-06,1993-11-01,11760
2019-12-06,2019-12-06,1993-12-01,18851
2019-12-06,2019-12-06,1994-01-01,7280
2019-12-06,2019-12-06,1994-02-01,7902
2019-12-06,2019-12-06,1994-03-01,9921
2019-12-06,2019-12-06,1994-04-01,9869
2019-12-06,2019-12-06,1994-05-01,10009
2019-12-06,2019-12-06,1994-06-01,9893
2019-12-06,2019-12-06,1994-07-01,9735
2019-12-06,2019-12-06,1994-08-01,11157
2019-12-06,2019-12-06,1994-09-01,10217
2019-12-06,2019-12-06,1994-10-01,10730
2019-12-06,2019-12-06,1994-11-01,12354
2019-12-06,2019-12-06,1994-12-01,20016
2019-12-06,2019-12-06,1995-01-01,7518
2019-12-06,2019-12-06,1995-02-01,7961
2019-12-06,2019-12-06,1995-03-01,9815
2019-12-06,2019-12-06,1995-04-01,10168
2019-12-06,2019-12-06,1995-05-01,10620
2019-12-06,2019-12-06,1995-06-01,10301
2019-12-06,2019-12-06,1995-07-01,9784
2019-12-06,2019-12-06,1995-08-01,11264
2019-12-06,2019-12-06,1995-09-01,10710
2019-12-06,2019-12-06,1995-10-01,10439
2019-12-06,2019-12-06,1995-11-01,12751
2019-12-06,2019-12-06,1995-12-01,20002
2019-12-06,2019-12-06,1996-01-01,7684
2019-12-06,2019-12-06,1996-02-01,8991
2019-12-06,2019-12-06,1996-03-01,10349
2019-12-06,2019-12-06,1996-04-01,10570
2019-12-06,2019-12-06,1996-05-01,11405
2019-12-06,2019-12-06,1996-06-01,10554
2019-12-06,2019-12-06,1996-07-01,10202
2019-12-06,2019-12-06,1996-08-01,12134
2019-12-06,2019-12-06,1996-09-01,10623
2019-12-06,2019-12-06,1996-10-01,11250
2019-12-06,2019-12-06,1996-11-01,12875
2019-12-06,2019-12-06,1996-12-01,19944
2019-12-06,2019-12-06,1997-01-01,8194
2019-12-06,2019-12-06,1997-02-01,8835
2019-12-06,2019-12-06,1997-03-01,10840
2019-12-06,2019-12-06,1997-04-01,10131
2019-12-06,2019-12-06,1997-05-01,11505
2019-12-06,2019-12-06,1997-06-01,10654
2019-12-06,2019-12-06,1997-07-01,10734
2019-12-06,2019-12-06,1997-08-01,12461
2019-12-06,2019-12-06,1997-09-01,10942
2019-12-06,2019-12-06,1997-10-01,11635
2019-12-06,2019-12-06,1997-11-01,13244
2019-12-06,2019-12-06,1997-12-01,21118
2019-12-06,2019-12-06,1998-01-01,8800
2019-12-06,2019-12-06,1998-02-01,9499
2019-12-06,2019-12-06,1998-03-01,10863
2019-12-06,2019-12-06,1998-04-01,11825
2019-12-06,2019-12-06,1998-05-01,12239
2019-12-06,2019-12-06,1998-06-01,11451
2019-12-06,2019-12-06,1998-07-01,11633
2019-12-06,2019-12-06,1998-08-01,12971
2019-12-06,2019-12-06,1998-09-01,11214
2019-12-06,2019-12-06,1998-10-01,12384
2019-12-06,2019-12-06,1998-11-01,13854
2019-12-06,2019-12-06,1998-12-01,22418
2019-12-06,2019-12-06,1999-01-01,9237
2019-12-06,2019-12-06,1999-02-01,10171
2019-12-06,2019-12-06,1999-03-01,12081
2019-12-06,2019-12-06,1999-04-01,12386
2019-12-06,2019-12-06,1999-05-01,13167
2019-12-06,2019-12-06,1999-06-01,12280
2019-12-06,2019-12-06,1999-07-01,12461
2019-12-06,2019-12-06,1999-08-01,13734
2019-12-06,2019-12-06,1999-09-01,12357
2019-12-06,2019-12-06,1999-10-01,12948
2019-12-06,2019-12-06,1999-11-01,14643
2019-12-06,2019-12-06,1999-12-01,24286
2019-12-06,2019-12-06,2000-01-01,9447
2019-12-06,2019-12-06,2000-02-01,11170
2019-12-06,2019-12-06,2000-03-01,12841
2019-12-06,2019-12-06,2000-04-01,13124
2019-12-06,2019-12-06,2000-05-01,13735
2019-12-06,2019-12-06,2000-06-01,12953
2019-12-06,2019-12-06,2000-07-01,12500
2019-12-06,2019-12-06,2000-08-01,14610
2019-12-06,2019-12-06,2000-09-01,13375
2019-12-06,2019-12-06,2000-10-01,13369
2019-12-06,2019-12-06,2000-11-01,15675
2019-12-06,2019-12-06,2000-12-01,24875
2019-12-06,2019-12-06,2001-01-01,10060
2019-12-06,2019-12-06,2001-02-01,11450
2019-12-06,2019-12-06,2001-03-01,13067
2019-12-06,2019-12-06,2001-04-01,13362
2019-12-06,2019-12-06,2001-05-01,13787
2019-12-06,2019-12-06,2001-06-01,12935
2019-12-06,2019-12-06,2001-07-01,12600
2019-12-06,2019-12-06,2001-08-01,14818
2019-12-06,2019-12-06,2001-09-01,12104
2019-12-06,2019-12-06,2001-10-01,13218
2019-12-06,2019-12-06,2001-11-01,15352
2019-12-06,2019-12-06,2001-12-01,24534
2019-12-06,2019-12-06,2002-01-01,10344
2019-12-06,2019-12-06,2002-02-01,11730
2019-12-06,2019-12-06,2002-03-01,13977
2019-12-06,2019-12-06,2002-04-01,13195
2019-12-06,2019-12-06,2002-05-01,14150
2019-12-06,2019-12-06,2002-06-01,13210
2019-12-06,2019-12-06,2002-07-01,12873
2019-12-06,2019-12-06,2002-08-01,15113
2019-12-06,2019-12-06,2002-09-01,12445
2019-12-06,2019-12-06,2002-10-01,14006
2019-12-06,2019-12-06,2002-11-01,15911
2019-12-06,2019-12-06,2002-12-01,25350
2019-12-06,2019-12-06,2003-01-01,10804
2019-12-06,2019-12-06,2003-02-01,11662
2019-12-06,2019-12-06,2003-03-01,13452
2019-12-06,2019-12-06,2003-04-01,13691
2019-12-06,2019-12-06,2003-05-01,14730
2019-12-06,2019-12-06,2003-06-01,13496
2019-12-06,2019-12-06,2003-07-01,13854
2019-12-06,2019-12-06,2003-08-01,15522
2019-12-06,2019-12-06,2003-09-01,13567
2019-12-06,2019-12-06,2003-10-01,14601
2019-12-06,2019-12-06,2003-11-01,16555
2019-12-06,2019-12-06,2003-12-01,26760
2019-12-06,2019-12-06,2004-01-01,11790
2019-12-06,2019-12-06,2004-02-01,13344
2019-12-06,2019-12-06,2004-03-01,14760
2019-12-06,2019-12-06,2004-04-01,15058
2019-12-06,2019-12-06,2004-05-01,15379
2019-12-06,2019-12-06,2004-06-01,14237
2019-12-06,2019-12-06,2004-07-01,14667
2019-12-06,2019-12-06,2004-08-01,15588
2019-12-06,2019-12-06,2004-09-01,14224
2019-12-06,2019-12-06,2004-10-01,15570
2019-12-06,2019-12-06,2004-11-01,17230
2019-12-06,2019-12-06,2004-12-01,28406
2019-12-06,2019-12-06,2005-01-01,12046
2019-12-06,2019-12-06,2005-02-01,13878
2019-12-06,2019-12-06,2005-03-01,15727
2019-12-06,2019-12-06,2005-04-01,15708
2019-12-06,2019-12-06,2005-05-01,15989
2019-12-06,2019-12-06,2005-06-01,15559
2019-12-06,2019-12-06,2005-07-01,15218
2019-12-06,2019-12-06,2005-08-01,16697
2019-12-06,2019-12-06,2005-09-01,14960
2019-12-06,2019-12-06,2005-10-01,16509
2019-12-06,2019-12-06,2005-11-01,18402
2019-12-06,2019-12-06,2005-12-01,30276
2019-12-06,2019-12-06,2006-01-01,12893
2019-12-06,2019-12-06,2006-02-01,14474
2019-12-06,2019-12-06,2006-03-01,16386
2019-12-06,2019-12-06,2006-04-01,16848
2019-12-06,2019-12-06,2006-05-01,17103
2019-12-06,2019-12-06,2006-06-01,16505
2019-12-06,2019-12-06,2006-07-01,16275
2019-12-06,2019-12-06,2006-08-01,17832
2019-12-06,2019-12-06,2006-09-01,16767
2019-12-06,2019-12-06,2006-10-01,17253
2019-12-06,2019-12-06,2006-11-01,19391
2019-12-06,2019-12-06,2006-12-01,31462
2019-12-06,2019-12-06,2007-01-01,13927
2019-12-06,2019-12-06,2007-02-01,15077
2019-12-06,2019-12-06,2007-03-01,18045
2019-12-06,2019-12-06,2007-04-01,17096
2019-12-06,2019-12-06,2007-05-01,18474
2019-12-06,2019-12-06,2007-06-01,17289
2019-12-06,2019-12-06,2007-07-01,16883
2019-12-06,2019-12-06,2007-08-01,18850
2019-12-06,2019-12-06,2007-09-01,16765
2019-12-06,2019-12-06,2007-10-01,17614
2019-12-06,2019-12-06,2007-11-01,20550
2019-12-06,2019-12-06,2007-12-01,30635
2019-12-06,2019-12-06,2008-01-01,14173
2019-12-06,2019-12-06,2008-02-01,15876
2019-12-06,2019-12-06,2008-03-01,17770
2019-12-06,2019-12-06,2008-04-01,17103
2019-12-06,2019-12-06,2008-05-01,19084
2019-12-06,2019-12-06,2008-06-01,17007
2019-12-06,2019-12-06,2008-07-01,17369
2019-12-06,2019-12-06,2008-08-01,19041
2019-12-06,2019-12-06,2008-09-01,15882
2019-12-06,2019-12-06,2008-10-01,16796
2019-12-06,2019-12-06,2008-11-01,18756
2019-12-06,2019-12-06,2008-12-01,26726
2019-12-06,2019-12-06,2009-01-01,13387
2019-12-06,2019-12-06,2009-02-01,14684
2019-12-06,2019-12-06,2009-03-01,15563
2019-12-06,2019-12-06,2009-04-01,16337
2019-12-06,2019-12-06,2009-05-01,17264
2019-12-06,2019-12-06,2009-06-01,15434
2019-12-06,2019-12-06,2009-07-01,16007
2019-12-06,2019-12-06,2009-08-01,17656
2019-12-06,2019-12-06,2009-09-01,15630
2019-12-06,2019-12-06,2009-10-01,17053
2019-12-06,2019-12-06,2009-11-01,18332
2019-12-06,2019-12-06,2009-12-01,27128
2019-12-06,2019-12-06,2010-01-01,13216
2019-12-06,2019-12-06,2010-02-01,14816
2019-12-06,2019-12-06,2010-03-01,17390
2019-12-06,2019-12-06,2010-04-01,17042
2019-12-06,2019-12-06,2010-05-01,17727
2019-12-06,2019-12-06,2010-06-01,16138
2019-12-06,2019-12-06,2010-07-01,16842
2019-12-06,2019-12-06,2010-08-01,17923
2019-12-06,2019-12-06,2010-09-01,16232
2019-12-06,2019-12-06,2010-10-01,17412
2019-12-06,2019-12-06,2010-11-01,20003
2019-12-06,2019-12-06,2010-12-01,28545
2019-12-06,2019-12-06,2011-01-01,13703
2019-12-06,2019-12-06,2011-02-01,15931
2019-12-06,2019-12-06,2011-03-01,18252
2019-12-06,2019-12-06,2011-04-01,18647
2019-12-06,2019-12-06,2011-05-01,18771
2019-12-06,2019-12-06,2011-06-01,17783
2019-12-06,2019-12-06,2011-07-01,17937
2019-12-06,2019-12-06,2011-08-01,19263
2019-12-06,2019-12-06,2011-09-01,17999
2019-12-06,2019-12-06,2011-10-01,18255
2019-12-06,2019-12-06,2011-11-01,20957
2019-12-06,2019-12-06,2011-12-01,31108
2019-12-06,2019-12-06,2012-01-01,14358
2019-12-06,2019-12-06,2012-02-01,17931
2019-12-06,2019-12-06,2012-03-01,20162
2019-12-06,2019-12-06,2012-04-01,18601
2019-12-06,2019-12-06,2012-05-01,19952
2019-12-06,2019-12-06,2012-06-01,18717
2019-12-06,2019-12-06,2012-07-01,18266
2019-12-06,2019-12-06,2012-08-01,20750
2019-12-06,2019-12-06,2012-09-01,18391
2019-12-06,2019-12-06,2012-10-01,18845
2019-12-06,2019-12-06,2012-11-01,22016
2019-12-06,2019-12-06,2012-12-01,31504
2019-12-06,2019-12-06,2013-01-01,15155
2019-12-06,2019-12-06,2013-02-01,17382
2019-12-06,2019-12-06,2013-03-01,20575
2019-12-06,2019-12-06,2013-04-01,19176
2019-12-06,2019-12-06,2013-05-01,20780
2019-12-06,2019-12-06,2013-06-01,18939
2019-12-06,2019-12-06,2013-07-01,19176
2019-12-06,2019-12-06,2013-08-01,21558
2019-12-06,2019-12-06,2013-09-01,18111
2019-12-06,2019-12-06,2013-10-01,19855
2019-12-06,2019-12-06,2013-11-01,22437
2019-12-06,2019-12-06,2013-12-01,31578
2019-12-06,2019-12-06,2014-01-01,15179
2019-12-06,2019-12-06,2014-02-01,17507
2019-12-06,2019-12-06,2014-03-01,20070
2019-12-06,2019-12-06,2014-04-01,20322
2019-12-06,2019-12-06,2014-05-01,21568
2019-12-06,2019-12-06,2014-06-01,18947
2019-12-06,2019-12-06,2014-07-01,19828
2019-12-06,2019-12-06,2014-08-01,21993
2019-12-06,2019-12-06,2014-09-01,18646
2019-12-06,2019-12-06,2014-10-01,20220
2019-12-06,2019-12-06,2014-11-01,23491
2019-12-06,2019-12-06,2014-12-01,32638
2019-12-06,2019-12-06,2015-01-01,15764
2019-12-06,2019-12-06,2015-02-01,17980
2019-12-06,2019-12-06,2015-03-01,20752
2019-12-06,2019-12-06,2015-04-01,20389
2019-12-06,2019-12-06,2015-05-01,22145
2019-12-06,2019-12-06,2015-06-01,19667
2019-12-06,2019-12-06,2015-07-01,20564
2019-12-06,2019-12-06,2015-08-01,22314
2019-12-06,2019-12-06,2015-09-01,19151
2019-12-06,2019-12-06,2015-10-01,20637
2019-12-06,2019-12-06,2015-11-01,23090
2019-12-06,2019-12-06,2015-12-01,33345
2019-12-06,2019-12-06,2016-01-01,15694
2019-12-06,2019-12-06,2016-02-01,18939
2019-12-06,2019-12-06,2016-03-01,21492
2019-12-06,2019-12-06,2016-04-01,20428
2019-12-06,2019-12-06,2016-05-01,21656
2019-12-06,2019-12-06,2016-06-01,20160
2019-12-06,2019-12-06,2016-07-01,20667
2019-12-06,2019-12-06,2016-08-01,22388
2019-12-06,2019-12-06,2016-09-01,19790
2019-12-06,2019-12-06,2016-10-01,20500
2019-12-06,2019-12-06,2016-11-01,23644
2019-12-06,2019-12-06,2016-12-01,34482
2019-12-06,2019-12-06,2017-01-01,15663
2019-12-06,2019-12-06,2017-02-01,17745
2019-12-06,2019-12-06,2017-03-01,21028
2019-12-06,2019-12-06,2017-04-01,20852
2019-12-06,2019-12-06,2017-05-01,21606
2019-12-06,2019-12-06,2017-06-01,20322
2019-12-06,2019-12-06,2017-07-01,20535
2019-12-06,2019-12-06,2017-08-01,22536
2019-12-06,2019-12-06,2017-09-01,19720
2019-12-06,2019-12-06,2017-10-01,20307
2019-12-06,2019-12-06,2017-11-01,24438
2019-12-06,2019-12-06,2017-12-01,33720
2019-12-06,2019-12-06,2018-01-01,15881
2019-12-06,2019-12-06,2018-02-01,18585
